# $ ../../source/project4 -l 2 -E 1 -c 1e7 -e 10
c,E,CV,Mabs,Chi,M,accs,Eraw
1.2701270000000000e+06,-1.9959641545116280e+00,3.2221611711751308e-02,9.9865406206352481e-01,4.0325359347637146e-03,-6.0572718440333892e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2801280000000000e+06,-1.9959613129716847e+00,3.2244252254871597e-02,9.9865364079433239e-01,4.0322174732474458e-03,-5.3494636045555141e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2901290000000000e+06,-1.9959414628096612e+00,3.2402410626207967e-02,9.9864818776547915e-01,4.0450266315166239e-03,-5.4487954608873596e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3001300000000000e+06,-1.9959557610407030e+00,3.2288488199336385e-02,9.9865358685845396e-01,4.0269885765882307e-03,-5.2843927603661509e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3101310000000000e+06,-1.9959683144012543e+00,3.2188466834897511e-02,9.9865661365888059e-01,4.0214137005247785e-03,-5.2321081548130630e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3201320000000000e+06,-1.9959776475373885e+00,3.2114102423557611e-02,9.9865997335096801e-01,4.0106247458999711e-03,-5.7920360451260984e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3301330000000000e+06,-1.9959868403246614e+00,3.2040855600389051e-02,9.9866290661622525e-01,4.0022493524420888e-03,-5.8446806463156815e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3401340000000000e+06,-1.9959944035071355e+00,3.1980592729860646e-02,9.9866467680253712e-01,3.9992103397459289e-03,-5.6547337002145322e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3501350000000000e+06,-1.9959944479256011e+00,3.1980238805507710e-02,9.9866308774144041e-01,4.0087721394104214e-03,-5.8346406187274373e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3601360000000000e+06,-1.9959915507890071e+00,3.2003323027634423e-02,9.9866115443631365e-01,4.0174541413517950e-03,-5.3297228861716589e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3701370000000000e+06,-1.9959799376408627e+00,3.2095855267613160e-02,9.9865778963717255e-01,4.0259937031952298e-03,-5.6523186154870203e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3801380000000000e+06,-1.9959395100023258e+00,3.2417969665308632e-02,9.9864251819938576e-01,4.0770297786552057e-03,-5.5136512601358281e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.3901390000000000e+06,-1.9959485803486006e+00,3.2345701206429212e-02,9.9864581010409104e-01,4.0663844029573681e-03,-5.3875177141706171e-02,0.0000000000000000e+00,-2.0000000000000000e+00
