# $ ../../source/project4 -P 1 -l 20 -e 1e3 -c 1e6 -b 200
# Evar=0.0249494
E,n,p
1.1800000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2000000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2200000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2400000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2600000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2800000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3000000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3200000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3399999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3599999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3799999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4199999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4399999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4600000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5200000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5800000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6200000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6400000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6800000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7000000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7200000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7400000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7600000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7800000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8000000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8200000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8399999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8599999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8799999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9199999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9399999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9600000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
