# $ ./project4 -L 20 -E 2.4 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
0.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,2.9999999999999999e-02,0.0000000000000000e+00,2.9999999999999999e-02
1.0000000000000000e+01,-7.4909090909090903e-01,5.5851698806244299e+00,9.2727272727272728e-02,4.7906336088154267e-01,8.6363636363636365e-02
2.0000000000000000e+01,-8.7619047619047619e-01,4.4685689090451000e+00,7.8809523809523815e-02,3.5273998488284186e-01,3.7857142857142853e-02
3.0000000000000000e+01,-9.0258064516129044e-01,3.2007023933402681e+00,7.9516129032258062e-02,4.6703087062088111e-01,1.6129032258064516e-04
4.0000000000000000e+01,-9.5878048780487801e-01,3.1179522770837464e+00,9.7804878048780491e-02,6.0122942692841530e-01,-3.7560975609756096e-02
5.0000000000000000e+01,-9.8980392156862751e-01,2.8141313170148128e+00,1.2843137254901962e-01,1.2441977444572596e+00,-8.0000000000000002e-02
6.0000000000000000e+01,-1.0044262295081967e+00,2.4780338320045479e+00,1.3229508196721312e-01,1.1114171817611749e+00,-9.1803278688524587e-02
7.0000000000000000e+01,-1.0243661971830986e+00,2.3190008596178084e+00,1.3338028169014085e-01,9.8741486477550733e-01,-9.8591549295774641e-02
8.0000000000000000e+01,-1.0386419753086420e+00,2.1950879777811503e+00,1.5475308641975308e-01,1.4788993039678908e+00,-1.2425925925925925e-01
9.0000000000000000e+01,-1.0574725274725274e+00,2.2049135235948447e+00,1.8417582417582415e-01,2.5642182908666427e+00,-1.5703296703296701e-01
1.0000000000000000e+02,-1.0655445544554454e+00,2.0389817447091270e+00,2.0351485148514850e-01,2.9158865143940140e+00,-1.7905940594059405e-01
1.1000000000000000e+02,-1.0691891891891891e+00,1.8761430349268269e+00,1.9599099099099099e-01,2.7968333198062938e+00,-1.6527027027027028e-01
1.2000000000000000e+02,-1.0679338842975208e+00,1.7657159498819890e+00,1.8681818181818183e-01,2.7926308539944902e+00,-1.4458677685950413e-01
1.3000000000000000e+02,-1.0819083969465648e+00,1.8533836412019458e+00,2.0435114503816795e-01,3.2538420449468748e+00,-1.0175572519083970e-01
1.4000000000000000e+02,-1.0965957446808512e+00,1.9408815787267537e+00,2.2315602836879431e-01,3.8050479519809550e+00,-6.1241134751773049e-02
