euler_pos0,euler_pos1,euler_pos2,verlet_pos0,verlet_pos1,verlet_pos2
0.523599,-0.877572,0,0.535831,-0.844333,0
0.529061,-0.874328,0,0.541126,-0.840949,0
0.534504,-0.871049,0,0.546399,-0.837533,0
0.539926,-0.867737,0,0.55165,-0.834083,0
0.545327,-0.864392,0,0.55688,-0.830601,0
0.550708,-0.861012,0,0.562088,-0.827085,0
0.556067,-0.8576,0,0.567273,-0.823537,0
0.561406,-0.854154,0,0.572436,-0.819957,0
0.566722,-0.850675,0,0.577577,-0.816344,0
0.572018,-0.847163,0,0.582695,-0.812699,0
0.577291,-0.843618,0,0.58779,-0.809022,0
0.582542,-0.84004,0,0.592861,-0.805313,0
0.587771,-0.83643,0,0.597909,-0.801572,0
0.592977,-0.832788,0,0.602934,-0.797799,0
0.598161,-0.829113,0,0.607935,-0.793995,0
0.603321,-0.825406,0,0.612911,-0.79016,0
0.608459,-0.821667,0,0.617864,-0.786293,0
0.613573,-0.817896,0,0.622792,-0.782396,0
0.618664,-0.814093,0,0.627696,-0.778467,0
0.623731,-0.810259,0,0.632575,-0.774508,0
0.628775,-0.806393,0,0.637428,-0.770518,0
0.633794,-0.802496,0,0.642257,-0.766498,0
0.638789,-0.798568,0,0.64706,-0.762447,0
0.643759,-0.794609,0,0.651838,-0.758367,0
0.648705,-0.790619,0,0.65659,-0.754256,0
0.653626,-0.786598,0,0.661316,-0.750116,0
0.658522,-0.782547,0,0.666016,-0.745946,0
0.663392,-0.778466,0,0.67069,-0.741747,0
0.668237,-0.774354,0,0.675337,-0.737518,0
0.673057,-0.770212,0,0.679958,-0.73326,0
0.677851,-0.766041,0,0.684551,-0.728974,0
0.682619,-0.76184,0,0.689118,-0.724658,0
0.68736,-0.757609,0,0.693658,-0.720314,0
0.692076,-0.753348,0,0.69817,-0.715941,0
0.696765,-0.749059,0,0.702654,-0.711541,0
0.701427,-0.74474,0,0.707111,-0.707112,0
0.706062,-0.740393,0,0.71154,-0.702655,0
0.71067,-0.736016,0,0.715941,-0.69817,0
0.715251,-0.731612,0,0.720313,-0.693658,0
0.719804,-0.727178,0,0.724658,-0.689119,0
0.72433,-0.722717,0,0.728973,-0.684552,0
0.728828,-0.718227,0,0.73326,-0.679958,0
0.733299,-0.71371,0,0.737517,-0.675338,0
0.737741,-0.709165,0,0.741746,-0.67069,0
0.742154,-0.704592,0,0.745946,-0.666017,0
0.74654,-0.699992,0,0.750115,-0.661317,0
0.750896,-0.695365,0,0.754256,-0.656591,0
0.755224,-0.690711,0,0.758366,-0.651839,0
0.759523,-0.68603,0,0.762447,-0.647061,0
0.763793,-0.681322,0,0.766497,-0.642258,0
0.768033,-0.676588,0,0.770518,-0.637429,0
0.772244,-0.671828,0,0.774507,-0.632575,0
0.776426,-0.667041,0,0.778467,-0.627696,0
0.780577,-0.662229,0,0.782395,-0.622793,0
0.784699,-0.657391,0,0.786293,-0.617864,0
0.788791,-0.652527,0,0.790159,-0.612912,0
0.792852,-0.647638,0,0.793995,-0.607935,0
0.796883,-0.642724,0,0.797799,-0.602934,0
0.800883,-0.637785,0,0.801571,-0.59791,0
0.804853,-0.632821,0,0.805312,-0.592862,0
0.808791,-0.627832,0,0.809021,-0.58779,0
0.812699,-0.622819,0,0.812698,-0.582695,0
0.816576,-0.617782,0,0.816344,-0.577578,0
0.820421,-0.612721,0,0.819956,-0.572437,0
0.824234,-0.607636,0,0.823537,-0.567274,0
0.828016,-0.602527,0,0.827085,-0.562088,0
0.831767,-0.597395,0,0.8306,-0.55688,0
0.835485,-0.59224,0,0.834083,-0.551651,0
0.839171,-0.587062,0,0.837532,-0.546399,0
0.842825,-0.581861,0,0.840949,-0.541126,0
0.846447,-0.576637,0,0.844332,-0.535832,0
0.850036,-0.571391,0,0.847682,-0.530516,0
0.853593,-0.566122,0,0.850999,-0.525179,0
0.857117,-0.560832,0,0.854282,-0.519822,0
0.860607,-0.55552,0,0.857531,-0.514444,0
0.864065,-0.550186,0,0.860746,-0.509046,0
0.86749,-0.54483,0,0.863928,-0.503628,0
0.870881,-0.539454,0,0.867075,-0.49819,0
0.874239,-0.534056,0,0.870188,-0.492732,0
0.877564,-0.528638,0,0.873267,-0.487255,0
0.880855,-0.523199,0,0.876311,-0.481758,0
0.884112,-0.51774,0,0.879321,-0.476243,0
0.887334,-0.512261,0,0.882295,-0.470709,0
0.890523,-0.506761,0,0.885236,-0.465156,0
0.893678,-0.501242,0,0.888141,-0.459585,0
0.896799,-0.495704,0,0.891011,-0.453995,0
0.899885,-0.490146,0,0.893846,-0.448388,0
0.902936,-0.484569,0,0.896645,-0.442763,0
0.905953,-0.478973,0,0.899409,-0.43712,0
0.908935,-0.473358,0,0.902138,-0.431461,0
0.911882,-0.467725,0,0.904831,-0.425784,0
0.914794,-0.462074,0,0.907489,-0.42009,0
0.917671,-0.456405,0,0.91011,-0.41438,0
0.920512,-0.450718,0,0.912696,-0.408654,0
0.923319,-0.445013,0,0.915245,-0.402911,0
0.92609,-0.439291,0,0.917759,-0.397153,0
0.928825,-0.433552,0,0.920236,-0.391378,0
0.931525,-0.427796,0,0.922677,-0.385589,0
0.934188,-0.422023,0,0.925081,-0.379784,0
0.936816,-0.416234,0,0.927449,-0.373964,0
0.939408,-0.410429,0,0.929781,-0.368129,0
0.941964,-0.404607,0,0.932075,-0.36228,0
