euler_pos0,euler_pos1,euler_pos2,verlet_pos0,verlet_pos1,verlet_pos2
1,0,0,1,0,0
1,0.000628319,0,1,0.000628319,0
1,0.00125664,0,0.999999,0.00125664,0
0.999999,0.00188496,0,0.999998,0.00188495,0
0.999998,0.00251327,0,0.999997,0.00251327,0
0.999996,0.00314159,0,0.999995,0.00314159,0
0.999994,0.00376991,0,0.999993,0.0037699,0
0.999992,0.00439822,0,0.99999,0.00439822,0
0.999989,0.00502653,0,0.999987,0.00502653,0
0.999986,0.00565485,0,0.999984,0.00565484,0
0.999982,0.00628316,0,0.99998,0.00628314,0
0.999978,0.00691146,0,0.999976,0.00691145,0
0.999974,0.00753977,0,0.999972,0.00753975,0
0.999969,0.00816807,0,0.999967,0.00816805,0
0.999964,0.00879637,0,0.999961,0.00879635,0
0.999959,0.00942467,0,0.999956,0.00942464,0
0.999953,0.010053,0,0.999949,0.0100529,0
0.999946,0.0106812,0,0.999943,0.0106812,0
0.99994,0.0113095,0,0.999936,0.0113095,0
0.999932,0.0119378,0,0.999929,0.0119378,0
0.999925,0.0125661,0,0.999921,0.012566,0
0.999917,0.0131944,0,0.999913,0.0131943,0
0.999909,0.0138226,0,0.999904,0.0138226,0
0.9999,0.0144509,0,0.999896,0.0144508,0
0.999891,0.0150791,0,0.999886,0.0150791,0
0.999882,0.0157074,0,0.999877,0.0157073,0
0.999872,0.0163356,0,0.999867,0.0163356,0
0.999861,0.0169639,0,0.999856,0.0169638,0
0.999851,0.0175921,0,0.999845,0.017592,0
0.99984,0.0182203,0,0.999834,0.0182202,0
0.999828,0.0188485,0,0.999822,0.0188484,0
0.999816,0.0194768,0,0.99981,0.0194766,0
0.999804,0.020105,0,0.999798,0.0201048,0
0.999792,0.0207332,0,0.999785,0.020733,0
0.999779,0.0213613,0,0.999772,0.0213612,0
0.999765,0.0219895,0,0.999758,0.0219894,0
0.999751,0.0226177,0,0.999744,0.0226175,0
0.999737,0.0232459,0,0.99973,0.0232457,0
0.999722,0.023874,0,0.999715,0.0238738,0
0.999707,0.0245022,0,0.9997,0.024502,0
0.999692,0.0251303,0,0.999684,0.0251301,0
0.999676,0.0257584,0,0.999668,0.0257582,0
0.99966,0.0263865,0,0.999652,0.0263863,0
0.999644,0.0270146,0,0.999635,0.0270144,0
0.999627,0.0276427,0,0.999618,0.0276425,0
0.999609,0.0282708,0,0.9996,0.0282706,0
0.999591,0.0288989,0,0.999582,0.0288986,0
0.999573,0.0295269,0,0.999564,0.0295267,0
0.999555,0.030155,0,0.999545,0.0301547,0
0.999536,0.030783,0,0.999526,0.0307827,0
0.999516,0.0314111,0,0.999507,0.0314108,0
0.999497,0.0320391,0,0.999487,0.0320388,0
0.999477,0.0326671,0,0.999466,0.0326668,0
0.999456,0.0332951,0,0.999446,0.0332947,0
0.999435,0.033923,0,0.999424,0.0339227,0
0.999414,0.034551,0,0.999403,0.0345506,0
0.999392,0.035179,0,0.999381,0.0351786,0
0.99937,0.0358069,0,0.999359,0.0358065,0
0.999347,0.0364348,0,0.999336,0.0364344,0
0.999325,0.0370627,0,0.999313,0.0370623,0
0.999301,0.0376906,0,0.999289,0.0376902,0
0.999278,0.0383185,0,0.999266,0.038318,0
0.999254,0.0389464,0,0.999241,0.0389459,0
0.999229,0.0395742,0,0.999217,0.0395737,0
0.999204,0.0402021,0,0.999192,0.0402016,0
0.999179,0.0408299,0,0.999166,0.0408294,0
0.999153,0.0414577,0,0.99914,0.0414571,0
0.999127,0.0420855,0,0.999114,0.0420849,0
0.999101,0.0427132,0,0.999087,0.0427127,0
0.999074,0.043341,0,0.99906,0.0433404,0
0.999047,0.0439687,0,0.999033,0.0439681,0
0.999019,0.0445964,0,0.999005,0.0445958,0
0.998991,0.0452241,0,0.998977,0.0452235,0
0.998963,0.0458518,0,0.998948,0.0458512,0
0.998934,0.0464795,0,0.998919,0.0464788,0
0.998905,0.0471071,0,0.99889,0.0471065,0
0.998875,0.0477348,0,0.99886,0.0477341,0
0.998845,0.0483624,0,0.99883,0.0483617,0
0.998815,0.04899,0,0.998799,0.0489892,0
0.998784,0.0496176,0,0.998768,0.0496168,0
