# $ ../../source/project4 -R 2 .05 -l 80 -e 1e5 -c 1e5 2.4
T,E,CV,Mabs,Chi,M
2.0000000000000000e+00,-1.7455826816731832e+00,7.7162092466722243e-01,9.1136742070079291e-01,4.1449203112686517e-01,-9.1136742070079291e-01
2.0499999999999998e+00,-1.7064071734282658e+00,8.7268952321890547e-01,8.9254784327156722e-01,5.8998662471436203e-01,8.9254784327156722e-01
2.1000000000000001e+00,-1.6625111623883762e+00,1.0117231826678070e+00,8.6900979427705716e-01,9.8968283950761393e-01,8.6900979427705716e-01
2.1499999999999999e+00,-1.6091824581754182e+00,1.1867833749052157e+00,8.3507593674063263e-01,1.8991959358283945e+00,8.3507593674063263e-01
2.2000000000000002e+00,-1.5431325936740632e+00,1.7043983498078283e+00,7.6757931795682044e-01,2.6556754669968289e+01,7.6757931795682044e-01
2.2500000000000000e+00,-1.4626149363506367e+00,1.9912829519247199e+00,6.7921654220957794e-01,2.3096176730617621e+01,6.7921654220957794e-01
2.2999999999999998e+00,-1.3565658655913442e+00,2.2352910750204020e+00,4.1827531099689003e-01,9.4751695369272781e+01,2.5324788627113731e-01
2.3500000000000001e+00,-1.2669250932490674e+00,1.4982770072895359e+00,2.0181719745302548e-01,5.4683028168771834e+01,3.5569397431025690e-02
