# $ ../../source/project4 -R 2.276 .001 -l 100 -c 1e6 2.286
T,E,CV,Mabs,Chi,M
2.2759999999999998e+00,-1.4044955107044892e+00,2.5033352577300181e+00,5.2052970847029156e-01,1.2597973348729587e+02,4.3135071064928934e-02
2.2769999999999997e+00,-1.4010213845786155e+00,2.4353578828752513e+00,5.0637891022108983e-01,1.2770385513839689e+02,1.9707689692310307e-02
2.2779999999999996e+00,-1.3996145943854057e+00,2.4591654194927242e+00,5.0467714172285827e-01,1.2735859600079262e+02,1.1802153917846082e-01
2.2789999999999999e+00,-1.3971127260872740e+00,2.4619193000607504e+00,4.9440914259085739e-01,1.3443169032641836e+02,2.5495990704009295e-02
2.2799999999999998e+00,-1.3934209077790922e+00,2.4868325596906318e+00,4.8101637998362001e-01,1.4259885801910619e+02,-9.7672940927059068e-02
2.2809999999999997e+00,-1.3927712424287577e+00,2.4958072621382197e+00,4.8593012546987457e-01,1.3940034512111538e+02,1.4144359075640925e-01
2.2819999999999996e+00,-1.3880921155078845e+00,2.5265602797273696e+00,4.5867037452962550e-01,1.5222564575376106e+02,-1.5058820941179058e-03
2.2829999999999999e+00,-1.3864684183315816e+00,2.3804428017620616e+00,4.5720136719863275e-01,1.4467310921375363e+02,4.6432951167048833e-02
2.2839999999999998e+00,-1.3856657479342520e+00,2.4664640578473649e+00,4.6621243118756883e-01,1.3979500484363538e+02,-6.6133423666576333e-02
2.2849999999999997e+00,-1.3817231722768277e+00,2.4353832232984600e+00,4.3930223609776392e-01,1.5691703919416364e+02,-1.0788155211844789e-03
2.2859999999999996e+00,-1.3768397547602451e+00,2.4180714396101530e+00,4.1116127263872743e-01,1.6295809826320504e+02,-2.9772880827119173e-02
