# $ ../../source/project4 -R 2.27 .002 -l 80 -c 1e6 2.29
T,E,CV,Mabs,Chi,M
2.2700000000000000e+00,-1.4217515982484017e+00,2.2766796739213810e+00,5.8958128104371899e-01,6.3623359249004714e+01,1.1726359836140164e-01
2.2719999999999998e+00,-1.4164912403837595e+00,2.3126048413155194e+00,5.7436935406814593e-01,6.8666424322292684e+01,1.2388832298667702e-02
2.2740000000000000e+00,-1.4119058687191313e+00,2.2975206805937529e+00,5.6531799968200036e-01,6.7697361271766781e+01,-3.7718512906487096e-02
2.2759999999999998e+00,-1.4044672067827932e+00,2.3776957090226425e+00,5.3061936125563880e-01,8.9721904569180168e+01,-1.9995365629634370e-02
2.2780000000000000e+00,-1.4018171781828217e+00,2.3467054601822719e+00,5.3237760418489577e-01,8.4448400158742885e+01,-1.3510463270786729e-01
2.2799999999999998e+00,-1.3972793364706635e+00,2.3424962538743244e+00,5.1871243597506400e-01,9.1337831115505736e+01,5.1861355951144050e-02
2.2820000000000000e+00,-1.3923724226275775e+00,2.3927338008172798e+00,5.0486414138585867e-01,9.2709605349762924e+01,2.5090143659856341e-03
2.2839999999999998e+00,-1.3875772280477718e+00,2.3355453422709282e+00,4.9067399432600567e-01,9.6584230147772175e+01,9.1768731356268646e-02
2.2860000000000000e+00,-1.3835777539222460e+00,2.3127362021349089e+00,4.7842339563910435e-01,9.8496042028598126e+01,5.7479146583353416e-02
2.2879999999999998e+00,-1.3784374903125098e+00,2.3050463020874070e+00,4.6934452315547687e-01,9.3508364920035604e+01,-2.1420826704173293e-02
2.2900000000000000e+00,-1.3751705823294176e+00,2.3310750054548723e+00,4.5640703765546237e-01,1.0517774140356248e+02,-1.4615522603227396e-01
