# $ ../../source/project4 -R 2.25 .01 -l 100 -e 3e5 -c 2e5 2.35
T,E,CV,Mabs,Chi,M
2.2500000000000000e+00,-1.4637621751891239e+00,1.9315165430622336e+00,6.8085464672676632e-01,2.3340462095557648e+01,-6.8085464672676632e-01
2.2599999999999998e+00,-1.4409701391493044e+00,2.2206896431350249e+00,6.2580112899435503e-01,5.2412168522013303e+01,-6.2580112899435503e-01
2.2700000000000000e+00,-1.4203007944960275e+00,2.3156321716094834e+00,5.7344033379833104e-01,9.1950996177955673e+01,-5.7278392508037457e-01
2.2799999999999998e+00,-1.3993933790331048e+00,2.4723808197720247e+00,5.2724118179409107e-01,1.1643387120455340e+02,9.2150153249233757e-02
2.2900000000000000e+00,-1.3641029414852925e+00,2.3032114320131987e+00,3.5122245988770057e-01,1.5184857570363209e+02,-1.9425760271198644e-01
2.2999999999999998e+00,-1.3500176299118505e+00,2.1974278279547432e+00,3.4897586312068440e-01,1.4164686709265655e+02,-1.3295677521612392e-01
2.3100000000000001e+00,-1.3277632751836241e+00,1.9272457905449776e+00,2.6900431897840510e-01,1.1759507207116050e+02,-7.0981159094204535e-02
2.3199999999999998e+00,-1.3102629926850367e+00,1.6328420470364606e+00,2.2964300978495109e-01,8.7929744341576381e+01,3.3854900725496372e-02
2.3300000000000001e+00,-1.2958929505352472e+00,1.5569406600181517e+00,2.0191613641931791e-01,7.7306359858177856e+01,-4.3551222243888785e-03
2.3399999999999999e+00,-1.2792014939925300e+00,1.4803110705173577e+00,1.7197395313023434e-01,6.6201986122365042e+01,3.5771921140394296e-04
2.3500000000000001e+00,-1.2653562852185740e+00,1.3895129720519277e+00,1.4192285438572808e-01,4.7547018067992390e+01,-8.0702216488917553e-03
