# $ ../../source/project4 -R 2.25 .01 -l 60 -e 1e5 -c 2e5 2.35
T,E,CV,Mabs,Chi,M
2.2500000000000000e+00,-1.4637610089727329e+00,1.9131303410984279e+00,6.7983994524471814e-01,2.1583255209059882e+01,5.5246407101297829e-02
2.2599999999999998e+00,-1.4470393036923703e+00,1.9594908849029076e+00,6.5780276931948667e-01,2.4091062480459474e+01,6.2719312236772151e-01
2.2700000000000000e+00,-1.4229584074301851e+00,2.0541213904770363e+00,6.0651999517780197e-01,3.7771192230220052e+01,1.8465715449200532e-01
2.2799999999999998e+00,-1.3963399294114642e+00,2.2460084779087137e+00,5.3243548504479699e-01,5.5824148513624522e+01,2.1585357906543798e-01
2.2900000000000000e+00,-1.3795175301901268e+00,2.2608976319818290e+00,5.0926034814270371e-01,5.6778187281386870e+01,-1.8423232883835580e-01
2.2999999999999998e+00,-1.3578755050669191e+00,2.0906952881381216e+00,4.6296188519057402e-01,5.6112539515999636e+01,1.2499978055665277e-01
2.3100000000000001e+00,-1.3323406216302252e+00,1.9530089356902613e+00,3.7332380560319417e-01,6.3071023536599014e+01,-5.9876256174274684e-03
2.3199999999999998e+00,-1.3177231391620821e+00,1.8766388586733127e+00,3.5921325948925814e-01,5.8178862859290867e+01,-1.6038292030762069e-02
2.3300000000000001e+00,-1.3036840538019532e+00,1.7602929953594917e+00,3.3965341284404688e-01,5.5052631627946482e+01,4.2225005541638959e-02
2.3399999999999999e+00,-1.2834162884741132e+00,1.5933087970476072e+00,2.8580342098289507e-01,4.7769578797998577e+01,9.5729204687309888e-02
2.3500000000000001e+00,-1.2677058170264706e+00,1.4559062705038672e+00,2.5078767383940859e-01,4.1171637166163393e+01,-3.7563367738716859e-02
