# $ ../../source/project4 -R 2.25 .01 -l 40 -e 1e5 -c 2e5 2.35
T,E,CV,Mabs,Chi,M
2.2500000000000000e+00,-1.4684691451542742e+00,1.8173239316042789e+00,6.9625106249468760e-01,1.3615014301903429e+01,4.2205615846920763e-01
2.2599999999999998e+00,-1.4518098659506702e+00,1.8365787429775748e+00,6.7470493897530515e-01,1.6172271296470999e+01,2.6761334943325282e-01
2.2700000000000000e+00,-1.4220402147989260e+00,2.1344615480768150e+00,6.0687240313798430e-01,2.8633057646313084e+01,-9.4975150124249376e-03
2.2799999999999998e+00,-1.4066904915475422e+00,1.9983506689234480e+00,6.0026073619631903e-01,2.3344184935247956e+01,-2.0283079834600826e-01
2.2900000000000000e+00,-1.3892671411642943e+00,2.0062712398602236e+00,5.6991714416427919e-01,2.6078290963698841e+01,1.9829103979480103e-01
2.2999999999999998e+00,-1.3692077664611677e+00,2.0093773123972158e+00,5.3434940325298375e-01,2.8259371520451214e+01,4.2487662561687192e-03
2.3100000000000001e+00,-1.3475274748626256e+00,1.9114924181764910e+00,4.9325738996305019e-01,2.9102529762078898e+01,-8.5614578177109116e-02
2.3199999999999998e+00,-1.3272843385783071e+00,1.8961444717652813e+00,4.4584273328633356e-01,3.2149093123194440e+01,2.4704026479867601e-02
2.3300000000000001e+00,-1.3073949005254974e+00,1.7599266065214163e+00,4.1304738476307618e-01,2.9509389454974091e+01,3.2237813810930945e-02
2.3399999999999999e+00,-1.2950155624221877e+00,1.7171600464037311e+00,3.9817656536717316e-01,2.9326297919247317e+01,-2.3291196044019778e-03
2.3500000000000001e+00,-1.2791260793696031e+00,1.6588769956577156e+00,3.6726505117474412e-01,2.9330759219836942e+01,-1.4343115784421078e-02
