# $ ../../source/project4 -R 2 .05 -l 60 -e 1e5 -c 1e5 2.4
T,E,CV,Mabs,Chi,M
2.0000000000000000e+00,-1.7453537020185355e+00,7.5805509316114084e-01,9.1132339787713235e-01,3.9318962686229497e-01,-9.1132339787713235e-01
2.0499999999999998e+00,-1.7068353094246835e+00,8.6842848730531297e-01,8.9268697868576863e-01,6.2337277311993244e-01,8.9268697868576863e-01
2.1000000000000001e+00,-1.6619461583161945e+00,9.9445770797618882e-01,8.6808959132630903e-01,1.1023662933407143e+00,-8.6808959132630903e-01
2.1499999999999999e+00,-1.6089666103338967e+00,1.2022391279448481e+00,8.3450881046745096e-01,2.0095769877415584e+00,-8.3450881046745096e-01
2.2000000000000002e+00,-1.5484372822938437e+00,1.3985323416275681e+00,7.8809649125730974e-01,4.0776449675274300e+00,7.8809649125730974e-01
2.2500000000000000e+00,-1.4634539654603453e+00,1.9787778485874008e+00,6.8115686065361569e-01,2.0332392512393632e+01,-6.8111326108961134e-01
2.2999999999999998e+00,-1.3539298162573929e+00,2.0679090379408103e+00,4.3601441763360149e-01,6.0101112919740537e+01,3.0825825075082584e-02
2.3500000000000001e+00,-1.2712289877101228e+00,1.5122734221272511e+00,2.6472020835347199e-01,4.4412901189834209e+01,3.0726359403072636e-02
