# $ ../../source/project4 -R 2 .05 -l 100 -e 2e5 -c 1e5 2.4
T,E,CV,Mabs,Chi,M
2.0000000000000000e+00,-1.7454760292397078e+00,8.0900551568716761e-01,9.1122112578874204e-01,4.3609328955113885e-01,9.1122112578874204e-01
2.0499999999999998e+00,-1.7066205177948222e+00,8.9633077783573256e-01,8.9257245627543724e-01,6.2629897279419555e-01,-8.9257245627543724e-01
2.1000000000000001e+00,-1.6621098629013711e+00,1.0148961848736890e+00,8.6869181908180926e-01,9.7378196299856601e-01,8.6869181908180926e-01
2.1499999999999999e+00,-1.6097716742832573e+00,1.1905743303745100e+00,8.3555295647043526e-01,1.9415008030575378e+00,8.3555295647043526e-01
2.2000000000000002e+00,-1.5451547124528755e+00,1.4829512998615659e+00,7.8185142148578513e-01,5.5755786924145436e+00,7.8185142148578513e-01
2.2500000000000000e+00,-1.4647202887971120e+00,1.9284514103224246e+00,6.8276446435535643e-01,2.2078166413026054e+01,6.8276446435535643e-01
2.2999999999999998e+00,-1.3460633233667665e+00,2.0347526152541824e+00,3.0587252327476727e-01,1.4862386100452920e+02,1.3341964580354195e-02
2.3500000000000001e+00,-1.2657694063059368e+00,1.3522231162781624e+00,1.4722471775282248e-01,4.3444361715644888e+01,7.2093479065209350e-04
