# $ ../../source/project4 -R 2 .05 -l 40 -e 1e5 -c 1e5 2.4
T,E,CV,Mabs,Chi,M
2.0000000000000000e+00,-1.7464080359196408e+00,7.1927692324024972e-01,9.1200539244607559e-01,3.6274977373919681e-01,9.1200539244607559e-01
2.0499999999999998e+00,-1.7060428895711044e+00,8.3842188175277343e-01,8.9212466625333742e-01,6.0752813060740973e-01,-8.9212466625333742e-01
2.1000000000000001e+00,-1.6626041989580105e+00,9.6613850821796354e-01,8.6939675603243971e-01,8.9440579352418093e-01,-8.6939675603243971e-01
2.1499999999999999e+00,-1.6106328686713132e+00,1.1672613738294089e+00,8.3736470135298646e-01,1.6631513268816107e+00,-8.3736470135298646e-01
2.2000000000000002e+00,-1.5462033629663703e+00,1.4067992677398347e+00,7.8484285157148437e-01,4.4997244966636405e+00,7.8484285157148437e-01
2.2500000000000000e+00,-1.4654776202237978e+00,1.8461706351085256e+00,6.9023112268877318e-01,1.5027106942632624e+01,3.9667273327266728e-01
2.2999999999999998e+00,-1.3739894351056490e+00,1.9233594237613743e+00,5.5086982880171198e-01,2.5704549454272197e+01,-4.6156750932490678e-02
2.3500000000000001e+00,-1.2759600903990960e+00,1.6487362057176336e+00,3.5910344646553533e-01,2.8537811821437035e+01,-6.5717105328946715e-02
