# $ ../../source/project4 -R 2.276 .001 -l 80 -c 1e6 2.286
T,E,CV,Mabs,Chi,M
2.2759999999999998e+00,-1.4025400380849617e+00,2.4770723323514972e+00,5.1608585485164515e-01,1.0160859803055942e+02,-5.8553549258950739e-02
2.2769999999999997e+00,-1.4027641622358376e+00,2.4087460806656469e+00,5.2768222263027742e-01,9.3037703669742911e+01,1.4277729128520872e-01
2.2779999999999996e+00,-1.4045905210344791e+00,2.3271862924916737e+00,5.5010220521029485e-01,7.4019647015478455e+01,1.0724257744492256e-01
2.2789999999999999e+00,-1.3979794201455797e+00,2.3353299633489120e+00,5.1503995933504065e-01,9.2275405603949267e+01,-9.4334905040094966e-02
2.2799999999999998e+00,-1.3942935144564856e+00,2.4153900730940174e+00,4.9662207900292105e-01,1.0237121273363097e+02,-1.1011860300639700e-01
2.2809999999999997e+00,-1.3927513953736048e+00,2.3876957171789779e+00,4.9711328444921554e-01,9.6874011135238177e+01,5.2587724599775398e-02
2.2819999999999996e+00,-1.3933160066839931e+00,2.3471096695663007e+00,5.1238261792988204e-01,8.9598561710186956e+01,-1.5236420669829331e-01
2.2829999999999999e+00,-1.3884528927971074e+00,2.3357736955292410e+00,4.8707592448657550e-01,9.8750625583895200e+01,-4.1609411828088173e-02
2.2839999999999998e+00,-1.3889185192064806e+00,2.2992442143258072e+00,5.0145955041544954e-01,8.7911154130509061e+01,2.4672162202837796e-02
2.2849999999999997e+00,-1.3854669826580173e+00,2.3326730730345182e+00,4.8612229575270427e-01,9.2164821179291252e+01,1.4184942502557496e-01
2.2859999999999996e+00,-1.3828098096901902e+00,2.3171793618041612e+00,4.8130872087877913e-01,9.4276332904877336e+01,3.3439044998455000e-02
