exact,numeric
3.000000000000e+00,2.910492618286e+00
7.000000000000e+00,6.863432388960e+00
1.100000000000e+01,1.082603880791e+01
1.500000000000e+01,1.479269079117e+01
1.900000000000e+01,1.876127335240e+01
2.300000000000e+01,2.273072743543e+01
2.700000000000e+01,2.670043451387e+01
3.100000000000e+01,3.066999646243e+01
3.500000000000e+01,3.463913917844e+01
3.900000000000e+01,3.860766437138e+01
4.300000000000e+01,4.257542303914e+01
4.700000000000e+01,4.654229979126e+01
5.100000000000e+01,5.050820304926e+01
5.500000000000e+01,5.447305863804e+01
5.900000000000e+01,5.843680543664e+01
6.300000000000e+01,6.239939233332e+01
6.700000000000e+01,6.636077603675e+01
7.100000000000e+01,7.032091946648e+01
7.500000000000e+01,7.427979054552e+01
7.900000000000e+01,7.823736127890e+01
8.300000000000e+01,8.219360703942e+01
8.700000000000e+01,8.614850600640e+01
9.100000000000e+01,9.010203871920e+01
9.500000000000e+01,9.405418771802e+01
9.900000000000e+01,9.800493725204e+01
1.030000000000e+02,1.019542730401e+02
1.070000000000e+02,1.059021820727e+02
1.110000000000e+02,1.098486524472e+02
1.150000000000e+02,1.137936732289e+02
1.190000000000e+02,1.177372343346e+02
1.230000000000e+02,1.216793264328e+02
1.270000000000e+02,1.256199408588e+02
1.310000000000e+02,1.295590695415e+02
1.350000000000e+02,1.334967049403e+02
1.390000000000e+02,1.374328399905e+02
1.430000000000e+02,1.413674680552e+02
1.470000000000e+02,1.453005828839e+02
1.510000000000e+02,1.492321785758e+02
1.550000000000e+02,1.531622495469e+02
1.590000000000e+02,1.570907905020e+02
1.630000000000e+02,1.610177964092e+02
1.670000000000e+02,1.649432624767e+02
1.710000000000e+02,1.688671841333e+02
1.750000000000e+02,1.727895570100e+02
1.790000000000e+02,1.767103769238e+02
1.830000000000e+02,1.806296398630e+02
1.870000000000e+02,1.845473419740e+02
1.910000000000e+02,1.884634795495e+02
1.950000000000e+02,1.923780490177e+02
1.990000000000e+02,1.962910469322e+02
2.030000000000e+02,2.002024699635e+02
2.070000000000e+02,2.041123148904e+02
2.110000000000e+02,2.080205785928e+02
2.150000000000e+02,2.119272580448e+02
2.190000000000e+02,2.158323503086e+02
2.230000000000e+02,2.197358525284e+02
2.270000000000e+02,2.236377619257e+02
2.310000000000e+02,2.275380757937e+02
2.350000000000e+02,2.314367914935e+02
2.390000000000e+02,2.353339064496e+02
2.430000000000e+02,2.392294181458e+02
2.470000000000e+02,2.431233241225e+02
2.510000000000e+02,2.470156219724e+02
2.550000000000e+02,2.509063093381e+02
2.590000000000e+02,2.547953839091e+02
2.630000000000e+02,2.586828434188e+02
2.670000000000e+02,2.625686856427e+02
2.710000000000e+02,2.664529083955e+02
2.750000000000e+02,2.703355095292e+02
2.790000000000e+02,2.742164869310e+02
2.830000000000e+02,2.780958385215e+02
2.870000000000e+02,2.819735622529e+02
2.910000000000e+02,2.858496561073e+02
2.950000000000e+02,2.897241180951e+02
2.990000000000e+02,2.935969462538e+02
3.030000000000e+02,2.974681386462e+02
3.070000000000e+02,3.013376933595e+02
3.110000000000e+02,3.052056085039e+02
3.150000000000e+02,3.090718822113e+02
3.190000000000e+02,3.129365126346e+02
3.230000000000e+02,3.167994979464e+02
3.270000000000e+02,3.206608363380e+02
3.310000000000e+02,3.245205260186e+02
3.350000000000e+02,3.283785652148e+02
3.390000000000e+02,3.322349521704e+02
3.430000000000e+02,3.360896851506e+02
3.470000000000e+02,3.399427624627e+02
3.510000000000e+02,3.437941825478e+02
3.550000000000e+02,3.476439443511e+02
3.590000000000e+02,3.514920487073e+02
3.630000000000e+02,3.553385031455e+02
3.670000000000e+02,3.591833372555e+02
3.710000000000e+02,3.630266476431e+02
3.750000000000e+02,3.668687168297e+02
3.790000000000e+02,3.707102923852e+02
3.830000000000e+02,3.745531512841e+02
3.870000000000e+02,3.784010309251e+02
3.910000000000e+02,3.822607451813e+02
3.950000000000e+02,3.861428106948e+02
3.990000000000e+02,3.900606525078e+02
4.030000000000e+02,3.940281710883e+02
4.070000000000e+02,3.980568428185e+02
4.110000000000e+02,4.021539926918e+02
4.150000000000e+02,4.063228076494e+02
4.190000000000e+02,4.105634315506e+02
4.230000000000e+02,4.148742370039e+02
4.270000000000e+02,4.192527897125e+02
4.310000000000e+02,4.236964299922e+02
4.350000000000e+02,4.282025690076e+02
4.390000000000e+02,4.327688144795e+02
4.430000000000e+02,4.373930074218e+02
4.470000000000e+02,4.420732174786e+02
4.510000000000e+02,4.468077216760e+02
4.550000000000e+02,4.515949785219e+02
4.590000000000e+02,4.564336027130e+02
4.630000000000e+02,4.613223424634e+02
4.670000000000e+02,4.662600599709e+02
4.710000000000e+02,4.712457149049e+02
4.750000000000e+02,4.762783505626e+02
4.790000000000e+02,4.813570822919e+02
4.830000000000e+02,4.864810877993e+02
4.870000000000e+02,4.916495990138e+02
4.910000000000e+02,4.968618952285e+02
4.950000000000e+02,5.021172972931e+02
4.990000000000e+02,5.074151626723e+02
5.030000000000e+02,5.127548812197e+02
5.070000000000e+02,5.181358715464e+02
5.110000000000e+02,5.235575778855e+02
5.150000000000e+02,5.290194673715e+02
5.190000000000e+02,5.345210276708e+02
5.230000000000e+02,5.400617649081e+02
5.270000000000e+02,5.456412018446e+02
5.310000000000e+02,5.512588762718e+02
5.350000000000e+02,5.569143395901e+02
5.390000000000e+02,5.626071555467e+02
5.430000000000e+02,5.683368991110e+02
5.470000000000e+02,5.741031554701e+02
5.510000000000e+02,5.799055191281e+02
5.550000000000e+02,5.857435930978e+02
5.590000000000e+02,5.916169881716e+02
5.630000000000e+02,5.975253222637e+02
5.670000000000e+02,6.034682198141e+02
5.710000000000e+02,6.094453112493e+02
5.750000000000e+02,6.154562324904e+02
5.790000000000e+02,6.215006245067e+02
5.830000000000e+02,6.275781329073e+02
5.870000000000e+02,6.336884075686e+02
5.910000000000e+02,6.398311022933e+02
5.950000000000e+02,6.460058744969e+02
5.990000000000e+02,6.522123849211e+02
6.030000000000e+02,6.584502973691e+02
6.070000000000e+02,6.647192784631e+02
6.110000000000e+02,6.710189974195e+02
6.150000000000e+02,6.773491258426e+02
6.190000000000e+02,6.837093375331e+02
6.230000000000e+02,6.900993083119e+02
6.270000000000e+02,6.965187158557e+02
6.310000000000e+02,7.029672395462e+02
6.350000000000e+02,7.094445603293e+02
6.390000000000e+02,7.159503605844e+02
6.430000000000e+02,7.224843240036e+02
6.470000000000e+02,7.290461354790e+02
6.510000000000e+02,7.356354809980e+02
6.550000000000e+02,7.422520475458e+02
6.590000000000e+02,7.488955230150e+02
6.630000000000e+02,7.555655961208e+02
6.670000000000e+02,7.622619563229e+02
6.710000000000e+02,7.689842937513e+02
6.750000000000e+02,7.757322991390e+02
6.790000000000e+02,7.825056637575e+02
6.830000000000e+02,7.893040793576e+02
6.870000000000e+02,7.961272381140e+02
6.910000000000e+02,8.029748325740e+02
6.950000000000e+02,8.098465556083e+02
6.990000000000e+02,8.167421003672e+02
7.030000000000e+02,8.236611602379e+02
7.070000000000e+02,8.306034288055e+02
7.110000000000e+02,8.375685998172e+02
7.150000000000e+02,8.445563671475e+02
7.190000000000e+02,8.515664247673e+02
7.230000000000e+02,8.585984667142e+02
7.270000000000e+02,8.656521870652e+02
7.310000000000e+02,8.727272799116e+02
7.350000000000e+02,8.798234393350e+02
7.390000000000e+02,8.869403593858e+02
7.430000000000e+02,8.940777340629e+02
7.470000000000e+02,9.012352572950e+02
7.510000000000e+02,9.084126229231e+02
7.550000000000e+02,9.156095246851e+02
7.590000000000e+02,9.228256562008e+02
