exact,numeric
3.000000000000e+00,2.999502752140e+00
7.000000000000e+00,6.997501235223e+00
1.100000000000e+01,1.099389910946e+01
1.500000000000e+01,1.498869394502e+01
1.900000000000e+01,1.898188464254e+01
2.300000000000e+01,2.297347290250e+01
2.700000000000e+01,2.696345357239e+01
3.100000000000e+01,3.095182758262e+01
3.500000000000e+01,3.493859279086e+01
3.900000000000e+01,3.892375345716e+01
4.300000000000e+01,4.290730234199e+01
4.700000000000e+01,4.688924175220e+01
5.100000000000e+01,5.086956586259e+01
5.500000000000e+01,5.484828204293e+01
5.900000000000e+01,5.882538493929e+01
6.300000000000e+01,6.280087111904e+01
6.700000000000e+01,6.677474347866e+01
7.100000000000e+01,7.074699750461e+01
7.500000000000e+01,7.471763687696e+01
7.900000000000e+01,7.868665585051e+01
8.300000000000e+01,8.265405565282e+01
8.700000000000e+01,8.661983534680e+01
9.100000000000e+01,9.058399382013e+01
9.500000000000e+01,9.454653011111e+01
9.900000000000e+01,9.850744470304e+01
1.030000000000e+02,1.024667320462e+02
1.070000000000e+02,1.064243964547e+02
1.110000000000e+02,1.103804341275e+02
1.150000000000e+02,1.143348423871e+02
1.190000000000e+02,1.182876224470e+02
1.230000000000e+02,1.222387757910e+02
1.270000000000e+02,1.261882981074e+02
1.310000000000e+02,1.301361861941e+02
1.350000000000e+02,1.340824438683e+02
1.390000000000e+02,1.380270664670e+02
1.430000000000e+02,1.419700552580e+02
1.470000000000e+02,1.459114110961e+02
1.510000000000e+02,1.498511276045e+02
1.550000000000e+02,1.537892053457e+02
1.590000000000e+02,1.577256470569e+02
1.630000000000e+02,1.616604456427e+02
1.670000000000e+02,1.655936052127e+02
1.710000000000e+02,1.695251266755e+02
1.750000000000e+02,1.734549993729e+02
1.790000000000e+02,1.773832307306e+02
1.830000000000e+02,1.813098173455e+02
1.870000000000e+02,1.852347566184e+02
1.910000000000e+02,1.891580516585e+02
1.950000000000e+02,1.930796968954e+02
1.990000000000e+02,1.969996930418e+02
2.030000000000e+02,2.009180384486e+02
2.070000000000e+02,2.048347315890e+02
2.110000000000e+02,2.087497746621e+02
2.150000000000e+02,2.126631614665e+02
2.190000000000e+02,2.165748971388e+02
2.230000000000e+02,2.204849721353e+02
2.270000000000e+02,2.243933944289e+02
2.310000000000e+02,2.283001576422e+02
2.350000000000e+02,2.322052632676e+02
2.390000000000e+02,2.361087098179e+02
2.430000000000e+02,2.400104915071e+02
2.470000000000e+02,2.439106123554e+02
2.510000000000e+02,2.478090730646e+02
2.550000000000e+02,2.517058681638e+02
2.590000000000e+02,2.556009960754e+02
2.630000000000e+02,2.594944581014e+02
2.670000000000e+02,2.633862538884e+02
2.710000000000e+02,2.672763797446e+02
2.750000000000e+02,2.711648334151e+02
2.790000000000e+02,2.750516209756e+02
2.830000000000e+02,2.789367322188e+02
2.870000000000e+02,2.828201749920e+02
2.910000000000e+02,2.867019373515e+02
2.950000000000e+02,2.905820305993e+02
2.990000000000e+02,2.944604420043e+02
3.030000000000e+02,2.983371795139e+02
3.070000000000e+02,3.022122360801e+02
3.110000000000e+02,3.060856148054e+02
3.150000000000e+02,3.099573111163e+02
3.190000000000e+02,3.138273273141e+02
3.230000000000e+02,3.176956584039e+02
3.270000000000e+02,3.215623062634e+02
3.310000000000e+02,3.254272689644e+02
3.350000000000e+02,3.292905409821e+02
3.390000000000e+02,3.331521306617e+02
