exact,numeric
3.000000000000e+00,2.999876662839e+00
7.000000000000e+00,6.999375680834e+00
1.100000000000e+01,1.099847601599e+01
1.500000000000e+01,1.499717498042e+01
1.900000000000e+01,1.899547608206e+01
2.300000000000e+01,2.299337578378e+01
2.700000000000e+01,2.699087311622e+01
3.100000000000e+01,3.098797052621e+01
3.500000000000e+01,3.498466857488e+01
3.900000000000e+01,3.898096606288e+01
4.300000000000e+01,4.297686615593e+01
4.700000000000e+01,4.697236079727e+01
5.100000000000e+01,5.096745602094e+01
5.500000000000e+01,5.496215106118e+01
5.900000000000e+01,5.895644431170e+01
6.300000000000e+01,6.295033853257e+01
6.700000000000e+01,6.694383204847e+01
7.100000000000e+01,7.093692805415e+01
7.500000000000e+01,7.492968213226e+01
7.900000000000e+01,7.892249200035e+01
8.300000000000e+01,8.291763368638e+01
8.700000000000e+01,8.692489299878e+01
9.100000000000e+01,9.097374939240e+01
9.500000000000e+01,9.512259353541e+01
9.900000000000e+01,9.944316122360e+01
1.030000000000e+02,1.039882743281e+02
1.070000000000e+02,1.087794695162e+02
1.110000000000e+02,1.138177296870e+02
1.150000000000e+02,1.190963150806e+02
1.190000000000e+02,1.246072945167e+02
1.230000000000e+02,1.303436353319e+02
1.270000000000e+02,1.362995730731e+02
1.310000000000e+02,1.424704682175e+02
1.350000000000e+02,1.488525886092e+02
1.390000000000e+02,1.554428704011e+02
1.430000000000e+02,1.622387755577e+02
1.470000000000e+02,1.692381859041e+02
1.510000000000e+02,1.764392734321e+02
1.550000000000e+02,1.838404815733e+02
1.590000000000e+02,1.914404376476e+02
1.630000000000e+02,1.992379127648e+02
1.670000000000e+02,2.072318271105e+02
1.710000000000e+02,2.154211863424e+02
1.750000000000e+02,2.238050823360e+02
1.790000000000e+02,2.323826862025e+02
1.830000000000e+02,2.411532199544e+02
1.870000000000e+02,2.501159390294e+02
1.910000000000e+02,2.592701494461e+02
1.950000000000e+02,2.686151902941e+02
1.990000000000e+02,2.781504324611e+02
2.030000000000e+02,2.878752480947e+02
2.070000000000e+02,2.977890578286e+02
2.110000000000e+02,3.078912556597e+02
2.150000000000e+02,3.181812951216e+02
2.190000000000e+02,3.286585975903e+02
2.230000000000e+02,3.393226286397e+02
2.270000000000e+02,3.501728316226e+02
2.310000000000e+02,3.612086581879e+02
2.350000000000e+02,3.724295844514e+02
2.390000000000e+02,3.838350619812e+02
2.430000000000e+02,3.954245610878e+02
2.470000000000e+02,4.071975400558e+02
2.510000000000e+02,4.191534686324e+02
2.550000000000e+02,4.312918092778e+02
2.590000000000e+02,4.436120291133e+02
2.630000000000e+02,4.561135686538e+02
2.670000000000e+02,4.687959050580e+02
2.710000000000e+02,4.816584666173e+02
2.750000000000e+02,4.947007298727e+02
2.790000000000e+02,5.079221317047e+02
2.830000000000e+02,5.213221037875e+02
2.870000000000e+02,5.349000822239e+02
2.910000000000e+02,5.486555198170e+02
2.950000000000e+02,5.625878346064e+02
2.990000000000e+02,5.766964478335e+02
3.030000000000e+02,5.909807648829e+02
