# $ ../../source/project4 -E 2.4 -c 1e6 -l 20
c,E,CV,Mabs,Chi,M,accs
0.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,2.9999999999999999e-02,0.0000000000000000e+00,2.9999999999999999e-02,3.2606000000000000e+04
1.0000000000000000e+03,-1.2166533466533467e+00,1.3708852752309264e+00,4.1417582417582416e-01,7.8262812279295790e+00,3.1626373626373627e-01,1.1000000000000000e+02
2.0000000000000000e+03,-1.2311894052973513e+00,1.4259317985240993e+00,4.5521489255372316e-01,7.7312266863403156e+00,3.5623938030984503e-01,9.6000000000000000e+01
3.0000000000000000e+03,-1.2422759080306565e+00,1.4296150252728492e+00,4.6975008330556484e-01,8.3410647874308097e+00,3.3546817727424189e-01,1.0300000000000000e+02
4.0000000000000000e+03,-1.2393526618345414e+00,1.4068847960605684e+00,4.6223319170207444e-01,8.7368937529010289e+00,2.5746188452886776e-01,1.0300000000000000e+02
5.0000000000000000e+03,-1.2437192561487702e+00,1.3906555055049112e+00,4.6706858628274345e-01,8.7679205983771595e+00,1.7593481303739253e-01,1.0400000000000000e+02
6.0000000000000000e+03,-1.2327178803532746e+00,1.3510337556175500e+00,4.4559323446092319e-01,8.7077025519446476e+00,1.9462839526745543e-01,1.2400000000000000e+02
7.0000000000000000e+03,-1.2262033995143551e+00,1.3714835019510221e+00,4.2643765176403370e-01,9.0420179268436645e+00,1.3807170404227967e-01,1.2300000000000000e+02
8.0000000000000000e+03,-1.2271803524559430e+00,1.4162707851744851e+00,4.3283714535683038e-01,9.0822125734366530e+00,6.2458442694663170e-02,1.0000000000000000e+02
9.0000000000000000e+03,-1.2252905232751916e+00,1.3686570726835423e+00,4.2884235084990557e-01,8.9510339091185429e+00,1.6227085879346740e-02,9.8000000000000000e+01
1.0000000000000000e+04,-1.2249065093490652e+00,1.3664476440289315e+00,4.2804369563043693e-01,8.8326000717429913e+00,-2.7145785421457857e-02,1.0900000000000000e+02
1.1000000000000000e+04,-1.2275720389055540e+00,1.3677522318625581e+00,4.3367784746841198e-01,8.8650674831292342e+00,1.1474411417143898e-02,9.4000000000000000e+01
1.2000000000000000e+04,-1.2252962253145572e+00,1.3677203515390299e+00,4.3061953170569117e-01,8.7502773210811373e+00,2.3327222731439044e-03,9.9000000000000000e+01
1.3000000000000000e+04,-1.2270702253672794e+00,1.3769234892414111e+00,4.3474463502807476e-01,8.6659673895379008e+00,3.8818167833243600e-02,8.2000000000000000e+01
1.4000000000000000e+04,-1.2282794086136704e+00,1.3754744252072442e+00,4.3855867438040141e-01,8.6507893965787694e+00,2.5147489465038211e-02,1.1600000000000000e+02
1.5000000000000000e+04,-1.2291087260849276e+00,1.3895369182228403e+00,4.3931637890807279e-01,8.7516294965413639e+00,4.7373841743883746e-02,1.2800000000000000e+02
1.6000000000000000e+04,-1.2303093556652709e+00,1.3657929742648776e+00,4.4308136991438035e-01,8.5491630528964002e+00,7.5613086682082373e-02,1.1600000000000000e+02
1.7000000000000000e+04,-1.2335480265866714e+00,1.3653975543770684e+00,4.5083348038350685e-01,8.4726838576452916e+00,1.0497970707605435e-01,7.6000000000000000e+01
1.8000000000000000e+04,-1.2345991889339480e+00,1.3596147943484564e+00,4.5391283817565692e-01,8.3909974838721695e+00,1.1509555024720848e-01,1.3400000000000000e+02
1.9000000000000000e+04,-1.2327056470712068e+00,1.3714497580685299e+00,4.4681832535129729e-01,8.6826796559752371e+00,9.7000421030472073e-02,1.4800000000000000e+02
2.0000000000000000e+04,-1.2337963101844907e+00,1.3877529948769682e+00,4.4850332483375832e-01,8.7422597372539563e+00,1.0495850207489626e-01,6.8000000000000000e+01
2.1000000000000000e+04,-1.2361273272701299e+00,1.3946853573337801e+00,4.5354173610780441e-01,8.7101901152984826e+00,7.3620779962858915e-02,1.1600000000000000e+02
2.2000000000000000e+04,-1.2354342984409801e+00,1.3888891264992809e+00,4.5017294668424163e-01,8.7864871061759757e+00,6.5615426571519475e-02,9.7000000000000000e+01
2.3000000000000000e+04,-1.2369679579148734e+00,1.3906676321590543e+00,4.5382874657623584e-01,8.7198799069081367e+00,4.6049954349810879e-02,1.0300000000000000e+02
2.4000000000000000e+04,-1.2391692012832798e+00,1.3972566937997675e+00,4.5739302529061293e-01,8.7338262405207683e+00,4.2659472521978249e-02,1.1700000000000000e+02
2.5000000000000000e+04,-1.2382488700451981e+00,1.3899914434827503e+00,4.5532998680052800e-01,8.7047639934995615e+00,4.3046478140874367e-02,1.1200000000000000e+02
2.6000000000000000e+04,-1.2365924387523557e+00,1.4045984611528108e+00,4.5254644052151838e-01,8.7932483377118213e+00,3.1093034883273720e-02,1.7800000000000000e+02
2.7000000000000000e+04,-1.2370260360727381e+00,1.4154496096251705e+00,4.5426354579460015e-01,8.8011887251591130e+00,2.5993852079552609e-02,1.4600000000000000e+02
2.8000000000000000e+04,-1.2364894110924609e+00,1.4109865845822724e+00,4.5265526231206032e-01,8.8312981753455162e+00,1.2407056890825328e-02,9.5000000000000000e+01
2.9000000000000000e+04,-1.2370556187717665e+00,1.4105770282033316e+00,4.5379159339333131e-01,8.8507590335417650e+00,9.1338229716216683e-03,1.1200000000000000e+02
3.0000000000000000e+04,-1.2379247358421386e+00,1.4120959719248403e+00,4.5551548281723947e-01,8.8427433144352410e+00,2.5445151828272391e-02,9.8000000000000000e+01
3.1000000000000000e+04,-1.2395090480952227e+00,1.4200369157267561e+00,4.5750072578303930e-01,8.8807907069324070e+00,8.4532757007838456e-03,1.3400000000000000e+02
3.2000000000000000e+04,-1.2392490859660636e+00,1.4176385450102393e+00,4.5696493859566883e-01,8.8851423635777262e+00,1.5664666729164712e-02,1.3600000000000000e+02
