# $ ../../source/project4 -E 2.4 -c 1e6 -l 40
c,E,CV,Mabs,Chi,M,accs
0.0000000000000000e+00,5.5000000000000000e-02,0.0000000000000000e+00,2.3750000000000000e-02,0.0000000000000000e+00,2.3750000000000000e-02,3.2742000000000000e+04
1.0000000000000000e+03,-1.2422052947052946e+00,2.6138758635637109e+00,4.4998001998001996e-01,2.3054538944655103e+01,-1.2089910089910090e-01,4.4900000000000000e+02
2.0000000000000000e+03,-1.2266704147926037e+00,2.0581025998883180e+00,3.6464767616191907e-01,2.6194783353887761e+01,-1.2646301849075461e-01,4.6600000000000000e+02
3.0000000000000000e+03,-1.2170951349550150e+00,1.8042581258997517e+00,3.1135996334555149e-01,2.5792978304364315e+01,-1.5063853715428191e-01,5.0000000000000000e+02
4.0000000000000000e+03,-1.2167314421394650e+00,1.7524715477088144e+00,3.1530117470632341e-01,2.5195334951175354e+01,-1.6463634091477133e-01,3.7700000000000000e+02
5.0000000000000000e+03,-1.2189802039592081e+00,1.6451118965203226e+00,3.2687837432513495e-01,2.3940829378615369e+01,-5.7277294541091782e-02,3.9700000000000000e+02
6.0000000000000000e+03,-1.2180336610564906e+00,1.5751331815283469e+00,3.2345650724879182e-01,2.3047047050312948e+01,-8.1724295950674875e-02,4.2100000000000000e+02
7.0000000000000000e+03,-1.2167368947293244e+00,1.5140760391408952e+00,3.0806063419511498e-01,2.4023132958223506e+01,-9.5045707756034853e-02,4.0300000000000000e+02
8.0000000000000000e+03,-1.2137992125984252e+00,1.5235502570872592e+00,3.0222597175353078e-01,2.3758725404580236e+01,-1.0003905761779777e-01,4.5200000000000000e+02
9.0000000000000000e+03,-1.2113326297078102e+00,1.5032871380542727e+00,2.9186687590267746e-01,2.3434688028852378e+01,-7.0810604377291406e-02,4.4600000000000000e+02
1.0000000000000000e+04,-1.2119913008699130e+00,1.4462749764794454e+00,2.9253224677532247e-01,2.1880953503010698e+01,-9.3579392060793923e-02,3.5600000000000000e+02
1.1000000000000000e+04,-1.2109494591400782e+00,1.4302249770040969e+00,2.8097797927461143e-01,2.1532092823560230e+01,-9.1664280519952734e-02,4.8800000000000000e+02
1.2000000000000000e+04,-1.2099997916840264e+00,1.4039786325556127e+00,2.7802756020331637e-01,2.0721643276780416e+01,-1.0126916506957753e-01,3.8300000000000000e+02
1.3000000000000000e+04,-1.2093785093454350e+00,1.3792996875350176e+00,2.7593887008691637e-01,2.0602601446273450e+01,-9.5921179140066148e-02,4.4200000000000000e+02
1.4000000000000000e+04,-1.2088916863081207e+00,1.3557202856995900e+00,2.7707083422612672e-01,2.0299031810235274e+01,-1.0417925505321049e-01,4.2000000000000000e+02
1.5000000000000000e+04,-1.2076483234451036e+00,1.3490722374126058e+00,2.7478693087127526e-01,2.0220853967082078e+01,-1.0314337377508165e-01,4.9300000000000000e+02
1.6000000000000000e+04,-1.2067369226923317e+00,1.3186538311160299e+00,2.6814691269295671e-01,1.9847761424597927e+01,-9.2333057308918193e-02,4.7300000000000000e+02
1.7000000000000000e+04,-1.2069812069878241e+00,1.3679123735472685e+00,2.6890874066231396e-01,2.0884250731766279e+01,-7.1989294747367802e-02,4.9300000000000000e+02
1.8000000000000000e+04,-1.2076886006332981e+00,1.4029899141537499e+00,2.7359702238764511e-01,2.1623443106879243e+01,-7.1333675906894059e-02,4.4300000000000000e+02
1.9000000000000000e+04,-1.2080773380348402e+00,1.3956360352636290e+00,2.7673898742171466e-01,2.1570983615182296e+01,-6.8247460659965273e-02,4.1700000000000000e+02
2.0000000000000000e+04,-1.2081160941952902e+00,1.3750521075235156e+00,2.7395448977551123e-01,2.1033827513184946e+01,-6.7051709914504279e-02,4.4100000000000000e+02
2.1000000000000000e+04,-1.2088670777582020e+00,1.3684460951272337e+00,2.7416819437169659e-01,2.0888645253652395e+01,-7.6355709251940379e-02,4.7200000000000000e+02
