# $ ../../source/project4 -E 2.4 -c 1e6 -l 100
c,E,CV,Mabs,Chi,M,accs
0.0000000000000000e+00,4.0000000000000001e-03,0.0000000000000000e+00,7.1999999999999998e-03,0.0000000000000000e+00,-7.1999999999999998e-03,3.2695000000000000e+04
1.0000000000000000e+03,-1.2041830169830170e+00,5.7188124224538406e+00,7.1024575424575423e-02,1.3163633014670973e+01,6.5524475524475517e-02,2.7940000000000000e+03
2.0000000000000000e+03,-1.2016301849075461e+00,3.3489682388248752e+00,7.1080859570214899e-02,1.1740619683744663e+01,5.0025387306346827e-02,2.8630000000000000e+03
3.0000000000000000e+03,-1.2021439520159947e+00,2.5828578741858816e+00,7.2297434188603807e-02,1.2906692644456362e+01,2.7577140953015663e-02,2.7740000000000000e+03
4.0000000000000000e+03,-1.2032728817795550e+00,2.1792228451888596e+00,7.8063634091477124e-02,1.4011714986628670e+01,1.1567458135466132e-02,2.8120000000000000e+03
5.0000000000000000e+03,-1.2037454109178165e+00,1.9443458590159814e+00,8.3944931013797242e-02,1.4938038054056859e+01,-1.2056188762247550e-02,2.9540000000000000e+03
6.0000000000000000e+03,-1.2022983502749540e+00,1.7808874197092115e+00,8.7556573904349275e-02,1.5537727769788011e+01,-2.7365405765705713e-02,2.6790000000000000e+03
7.0000000000000000e+03,-1.2037165547778887e+00,1.6895472698596616e+00,8.8019511498357378e-02,1.5720853029763200e+01,-1.8950178545922011e-02,2.6560000000000000e+03
8.0000000000000000e+03,-1.2045255343082115e+00,1.6032800399382701e+00,8.3095513060867390e-02,1.4944874978606267e+01,-1.7036520434945631e-02,2.7760000000000000e+03
9.0000000000000000e+03,-1.2041547828019110e+00,1.5408606213124263e+00,8.2059304521719806e-02,1.5213049208998214e+01,-9.1069214531718703e-03,3.0080000000000000e+03
1.0000000000000000e+04,-1.2040231976802318e+00,1.4948058628409895e+00,8.4435196480351971e-02,1.4838090628786667e+01,-9.8391760823917599e-03,2.7190000000000000e+03
1.1000000000000000e+04,-1.2029339150986273e+00,1.4507604353321304e+00,8.3580892646123089e-02,1.4953998433337199e+01,-1.2160039996363968e-02,2.7060000000000000e+03
1.2000000000000000e+04,-1.2022928089325888e+00,1.4268319349275487e+00,8.3446229480876599e-02,1.4437397033540265e+01,-9.8452628947587693e-03,2.7990000000000000e+03
1.3000000000000000e+04,-1.2014883470502269e+00,1.4111891826402605e+00,8.2361895238827781e-02,1.4378767775203606e+01,-1.0982555188062458e-02,3.0190000000000000e+03
1.4000000000000000e+04,-1.2014927219484324e+00,1.3871467499797130e+00,8.2395643168345120e-02,1.4325277770109656e+01,-8.5229483608313689e-03,2.9880000000000000e+03
1.5000000000000000e+04,-1.2015863742417172e+00,1.3939026211786811e+00,8.6059076061595893e-02,1.5672898186452633e+01,-8.9262049196720222e-04,2.6500000000000000e+03
1.6000000000000000e+04,-1.2018989813136678e+00,1.3631664767256009e+00,8.4727629523154810e-02,1.5158838019235210e+01,-5.3064183488531972e-04,2.7530000000000000e+03
1.7000000000000000e+04,-1.2017054996764898e+00,1.3406030584576851e+00,8.3244856184930299e-02,1.5032640372300001e+01,7.5335568495970824e-04,2.9660000000000000e+03
1.8000000000000000e+04,-1.2011912671518248e+00,1.3337560323806894e+00,8.1118382312093770e-02,1.4795775625264554e+01,2.3112049330592743e-04,2.8970000000000000e+03
1.9000000000000000e+04,-1.2016648176411766e+00,1.3251906049712043e+00,8.4144813430872059e-02,1.6939911708893309e+01,7.2836798063259838e-03,2.7400000000000000e+03
